Date,Open,High,Low,Close,Volume,Daily_Vol,S_10,Corr,RSI,Open-Close,Open-Open,Buy,Sell,buy_probability,sell_probability
02/06/2008,21.43,21.52,20.9,21.09,77028400,0.017508607,21.551,0.67729986,33.66995711,-0.06,-0.1,1,0,0.53786486,0.4979688
03/06/2008,21.18,21.48,20.69,20.72,86616700,0.019331878,21.388,0.784494638,28.91174278,0.09,-0.25,1,0,0.69380885,0.65497303
04/06/2008,20.7,20.97,20.64,20.9,79567400,0.018256023,21.296,0.794810202,33.95671065,-0.02,-0.48,1,0,0.6323975,0.5556594
05/06/2008,21.03,21.47,20.94,21.47,76063400,0.02225289,21.299,0.63057723,47.1527298,0.13,0.33,1,0,0.6513999,0.51140726
06/06/2008,21.24,21.37,20.86,20.86,78500800,0.02104768,21.225,0.637900619,38.10046941,-0.23,0.21,1,0,0.6893989,0.6446348
09/06/2008,20.98,21.18,20.71,21.03,66787100,0.020234364,21.2,0.721121822,41.57371164,0.12,-0.26,1,0,0.61236334,0.38705042
10/06/2008,20.76,21.47,20.73,21.16,77433900,0.019835167,21.158,0.598272168,44.23248273,-0.27,-0.22,1,0,0.67527425,0.5971233
11/06/2008,21.13,21.2,20.57,20.58,59330800,0.019898869,21.078,0.656585317,36.0908441,-0.03,0.37,1,0,0.6147628,0.60168445
12/06/2008,20.79,21.66,20.63,21.43,113996300,0.019444054,21.073,0.311999696,50.82860373,0.21,-0.34,1,0,0.36934692,0.10357271
13/06/2008,21.72,22.44,21.63,22.06,131969100,0.029145977,21.13,-0.213342032,58.67636857,0.29,0.93,0,0,0.058247805,0.047978338
16/06/2008,22.02,22.09,21.73,21.95,74718900,0.027860602,21.216,-0.222063158,56.91413604,-0.04,0.3,0,1,0.19811897,0.074387506
17/06/2008,22.04,22.1,21.85,21.85,44256700,0.026816269,21.329,0.175730668,55.23839898,0.09,0.02,0,1,0.50371945,0.26751125
18/06/2008,21.66,21.9,21.59,21.59,49677800,0.026188981,21.398,0.33680191,50.90823259,-0.19,-0.38,0,1,0.55772567,0.32555464
19/06/2008,21.66,22.15,21.5,21.95,62037800,0.024870034,21.446,0.458519184,56.19156444,0.07,0,0,1,0.4855784,0.22146049
20/06/2008,21.93,21.94,21.32,21.42,97480400,0.023803173,21.502,0.377875726,47.78000905,-0.02,0.27,0,1,0.48773187,0.11743183
23/06/2008,21.47,21.56,21.09,21.22,57145300,0.02282311,21.521,0.200609058,44.95821165,0.05,-0.46,0,1,0.4173826,0.18319756
24/06/2008,21.19,21.25,20.87,21.04,65218300,0.022343675,21.509,-0.005445125,42.45112793,-0.03,-0.28,0,1,0.30491626,0.104525745
25/06/2008,21.1,21.75,21.06,21.51,64280200,0.021732686,21.602,-0.50306165,50.46519717,0.06,-0.09,0,1,0.03901917,0.029065503
26/06/2008,21.27,21.4,21.06,21.06,67049100,0.020647351,21.565,-0.787976978,43.95366077,-0.24,0.17,0,1,0.005813207,0.001356333
27/06/2008,21,21.18,20.84,20.97,73450200,0.021041275,21.456,-0.65174654,42.72849027,-0.06,-0.27,0,1,0.005261162,0.001650617
30/06/2008,21.04,21.23,20.86,20.87,57830500,0.02000426,21.348,-0.202219775,41.30701194,0.07,0.04,0,1,0.19094327,0.2667379
01/07/2008,20.69,20.78,20.06,20.39,100327800,0.020460689,21.202,0.532788998,35.08241903,-0.18,-0.35,0,1,0.59275323,0.44338787
02/07/2008,20.41,20.49,19.64,19.64,84669000,0.025386913,21.007,0.846635011,27.80752029,0.02,-0.28,1,0,0.63641244,0.6917364
03/07/2008,19.71,19.8,19.42,19.71,37074500,0.025116263,20.783,0.95326187,29.32730936,0.07,-0.7,1,0,0.71136993,0.6324025
07/07/2008,19.81,20.02,19.31,19.75,71527600,0.024279521,20.616,0.941947772,30.25948118,0.1,0.1,1,0,0.673367,0.71881074
08/07/2008,19.68,19.88,19.36,19.61,65553200,0.02315291,20.455,0.93307302,28.78307107,-0.07,-0.13,1,0,0.69624835,0.75546515
09/07/2008,19.57,19.61,19.11,19.14,54255800,0.022852306,20.265,0.944607637,24.35114738,-0.04,-0.11,1,0,0.7567944,0.77519965
10/07/2008,19.12,19.48,18.95,19.31,57830600,0.021741449,20.045,0.930754537,28.75963699,-0.02,-0.45,1,0,0.71626073,0.7393769
11/07/2008,19.09,19.46,18.87,19.16,69532600,0.021089794,19.855,0.911396377,27.20531476,-0.22,-0.03,1,0,0.7603837,0.7981447
14/07/2008,19.33,19.58,19.02,19.08,51216200,0.020172438,19.666,0.892133115,26.36105391,0.17,0.24,1,0,0.73736566,0.71648943
15/07/2008,18.92,20.21,18.92,19.84,92719300,0.023733442,19.563,0.634675935,44.53102162,-0.16,-0.41,1,0,0.70064837,0.6270642
16/07/2008,19.83,20.71,19.67,20.68,82060400,0.035377392,19.592,-0.092387048,57.43041283,-0.01,0.91,0,1,0.003516802,0.015990777
17/07/2008,20.93,21.18,20.57,20.88,96526100,0.036886879,19.716,-0.272335291,59.89757599,0.25,1.1,0,1,0.006578432,0.018470095
18/07/2008,20,20.08,19.05,19.62,150277000,0.039253962,19.707,-0.309371954,42.61073893,-0.88,-0.93,0,0,0.0010543,0.000201783
21/07/2008,19.47,19.86,19.37,19.46,77575600,0.03744227,19.678,-0.377141651,40.94349874,-0.15,-0.53,0,0,0.5496467,0.13933544
22/07/2008,19.38,19.68,19.33,19.58,88657200,0.035615116,19.675,-0.47352579,42.80829297,-0.08,-0.09,0,0,0.22222868,0.02983336
23/07/2008,19.62,20.37,19.61,20.05,79408800,0.035056124,19.766,-0.379752339,49.71786316,0.04,0.24,0,0,0.3311518,0.16525605
24/07/2008,19.8,19.86,19.3,19.3,81092600,0.033754425,19.765,-0.346526888,40.94669025,-0.25,0.18,1,0,0.66239846,0.50307
25/07/2008,19.46,19.9,19.35,19.85,58682300,0.032288453,19.834,-0.13127185,48.36863536,0.16,-0.34,1,0,0.59817684,0.36400637
28/07/2008,19.77,19.81,19.23,19.35,59707800,0.031665127,19.861,-0.35173977,42.91988568,-0.08,0.31,1,0,0.63522875,0.31614363
29/07/2008,19.36,19.87,19.27,19.81,66368200,0.030115211,19.858,-0.402338107,48.8141336,0.01,-0.41,1,0,0.13762015,0.05154534
30/07/2008,19.88,20.1,19.65,19.9,51977700,0.030075585,19.78,-0.105085721,49.93794746,0.07,0.52,1,0,0.43076184,0.2639996
31/07/2008,19.61,19.94,19.51,19.52,60461000,0.028985012,19.644,0.248086827,45.27460243,-0.29,-0.27,1,0,0.6006258,0.38480818
01/08/2008,19.67,19.69,19.02,19.3,82720200,0.02897191,19.612,0.404133808,42.70903634,0.15,0.06,1,0,0.7291473,0.4322988
04/08/2008,19.27,19.39,19.05,19.18,60588300,0.027568133,19.584,0.526840965,41.29096004,-0.03,-0.4,1,0,0.71787757,0.6244809
05/08/2008,19.46,19.94,19.35,19.89,84297600,0.028178709,19.615,0.35881785,51.80990538,0.28,0.19,1,0,0.4816102,0.21131913
